@relation aggregateResults

@attribute ROWS_COLS {ROWS_ONLY,COLS_ONLY,BOTH}
@attribute FUNCTION {RawDistances,ClusterDiff,Pruning,RawPruning}
@attribute NUM_CONTEXTS numeric
@attribute NUM_CANDIDATES numeric
@attribute DIFFICULTY_TYPE {Averaged,Same,Permutation,Decrement,Increment,[weight],[color],[contents],~[weight],~[color],~[contents],Same:weight,Different:color,DecrementPattern:weight,Same:color,Same:contents,Different:contents,IncrementPattern:weight,'2 patterns','3 patterns','4 patterns','5 patterns','6 patterns','7 patterns'}
@attribute ACCURACY numeric
@attribute STD_DEV numeric

@data
BOTH,RawPruning,1,3,Averaged,0.440667,0.099203
ROWS_ONLY,RawDistances,2,2,[weight],0.680596,0.1277
ROWS_ONLY,RawDistances,2,3,Increment,0.570484,0.137261
ROWS_ONLY,RawDistances,2,4,Decrement,0.436591,0.132219
ROWS_ONLY,RawDistances,2,5,Permutation,0.342302,0.081596
ROWS_ONLY,RawDistances,2,6,Same,0.324256,0.091609
ROWS_ONLY,RawDistances,2,7,Averaged,0.28213,0.080279
COLS_ONLY,Pruning,4,2,Averaged,0.76104,0.090807
ROWS_ONLY,ClusterDiff,3,2,Decrement,0.78276,0.142092
ROWS_ONLY,ClusterDiff,3,3,Permutation,0.553465,0.120562
ROWS_ONLY,ClusterDiff,3,4,Same,0.537232,0.129275
ROWS_ONLY,ClusterDiff,3,5,Averaged,0.46953,0.134459
ROWS_ONLY,RawPruning,3,2,Same,0.700372,0.078042
ROWS_ONLY,RawPruning,3,3,Averaged,0.53154,0.086869
COLS_ONLY,RawPruning,3,2,Averaged,0.66137,0.082743
BOTH,Pruning,1,2,Permutation,0.629259,0.097115
BOTH,Pruning,1,3,Same,0.432427,0.138283
BOTH,Pruning,1,4,Averaged,0.39019,0.121232
COLS_ONLY,RawDistances,3,2,Decrement,0.613506,0.148986
COLS_ONLY,RawDistances,3,3,Permutation,0.487065,0.088529
COLS_ONLY,RawDistances,3,4,Same,0.43744,0.104662
COLS_ONLY,RawDistances,3,5,Averaged,0.36453,0.092337
BOTH,Pruning,3,2,Averaged,0.75227,0.104311
BOTH,RawDistances,1,2,Increment,0.68318,0.14001
BOTH,RawDistances,1,3,Decrement,0.452381,0.206972
BOTH,RawDistances,1,4,Permutation,0.365688,0.097228
BOTH,RawDistances,1,5,Same,0.313535,0.098864
BOTH,RawDistances,1,6,Averaged,0.273429,0.090784
ROWS_ONLY,ClusterDiff,5,2,Same,0.809015,0.072346
ROWS_ONLY,ClusterDiff,5,3,Averaged,0.65674,0.104208
ROWS_ONLY,RawPruning,2,2,Permutation,0.647788,0.073163
ROWS_ONLY,RawPruning,2,3,Same,0.504705,0.089897
ROWS_ONLY,RawPruning,2,4,Averaged,0.41371,0.089043
COLS_ONLY,ClusterDiff,2,2,Decrement,0.735162,0.14847
COLS_ONLY,ClusterDiff,2,3,Permutation,0.485361,0.11909
COLS_ONLY,ClusterDiff,2,4,Same,0.474934,0.129259
COLS_ONLY,ClusterDiff,2,5,Averaged,0.40501,0.127619
COLS_ONLY,RawDistances,6,2,Averaged,0.69911,0.062414
BOTH,RawDistances,2,2,Decrement,0.643214,0.193587
BOTH,RawDistances,2,3,Permutation,0.495158,0.092529
BOTH,RawDistances,2,4,Same,0.441816,0.113441
BOTH,RawDistances,2,5,Averaged,0.36711,0.101325
COLS_ONLY,Pruning,3,2,Same,0.745044,0.09907
COLS_ONLY,Pruning,3,3,Averaged,0.55813,0.125301
COLS_ONLY,Pruning,2,2,Permutation,0.676648,0.091964
COLS_ONLY,Pruning,2,3,Same,0.503304,0.133653
COLS_ONLY,Pruning,2,4,Averaged,0.45681,0.121026
BOTH,RawPruning,2,2,Averaged,0.66445,0.08801
ROWS_ONLY,Pruning,2,2,Decrement,0.749578,0.144846
ROWS_ONLY,Pruning,2,3,Permutation,0.492269,0.123015
ROWS_ONLY,Pruning,2,4,Same,0.477418,0.128749
ROWS_ONLY,Pruning,2,5,Averaged,0.40902,0.129902
ROWS_ONLY,Pruning,3,2,Permutation,0.724549,0.091512
