@relation aggregateResults

@attribute ROWS_COLS {ROWS_ONLY,COLS_ONLY,BOTH}
@attribute FUNCTION {RawDistances,ClusterDiff,Pruning}
@attribute NUM_CONTEXTS numeric
@attribute NUM_CANDIDATES numeric
@attribute DIFFICULTY_TYPE {Averaged,Same,Increment,Decrement,Permutation,[contents],[weight],[color],~[contents],~[weight],~[color],Same:contents,IncrementPattern:weight,DecrementPattern:weight,Different:color,Same:color,Same:weight,Different:contents,'2 patterns','3 patterns','4 patterns','5 patterns','6 patterns','7 patterns'}
@attribute ACCURACY numeric
@attribute STD_DEV numeric

@data
ROWS_ONLY,Pruning,3,2,Increment,0.8,0.126073
ROWS_ONLY,Pruning,3,3,Same,0.57802,0.120653
ROWS_ONLY,Pruning,3,4,Averaged,0.51794,0.112531
ROWS_ONLY,RawDistances,5,2,Increment,0.823871,0.101335
ROWS_ONLY,RawDistances,5,3,Same,0.572867,0.077768
ROWS_ONLY,RawDistances,5,4,Averaged,0.48572,0.077737
ROWS_ONLY,ClusterDiff,4,2,Increment,0.840645,0.112437
ROWS_ONLY,ClusterDiff,4,3,Same,0.612079,0.123077
ROWS_ONLY,ClusterDiff,4,4,Averaged,0.54843,0.124869
ROWS_ONLY,ClusterDiff,5,2,Same,0.801422,0.074975
ROWS_ONLY,ClusterDiff,5,3,Averaged,0.63935,0.103595
ROWS_ONLY,Pruning,1,7,Averaged,0.226762,0.095086
ROWS_ONLY,Pruning,1,6,Same,0.269459,0.117781
ROWS_ONLY,Pruning,1,5,Increment,0.34255,0.183432
ROWS_ONLY,Pruning,1,4,Decrement,0.448052,0.194209
ROWS_ONLY,Pruning,1,3,Permutation,0.40847,0.11195
ROWS_ONLY,Pruning,1,2,[contents],0.622619,0.07817
COLS_ONLY,ClusterDiff,1,7,Averaged,0.229619,0.09572
COLS_ONLY,ClusterDiff,1,6,Same,0.269042,0.117643
COLS_ONLY,ClusterDiff,1,5,Increment,0.339094,0.183748
COLS_ONLY,ClusterDiff,1,4,Decrement,0.444341,0.193367
COLS_ONLY,ClusterDiff,1,3,Permutation,0.404816,0.107548
COLS_ONLY,ClusterDiff,1,2,[contents],0.619312,0.080529
ROWS_ONLY,RawDistances,1,9,Averaged,0.185905,0.067671
ROWS_ONLY,RawDistances,1,8,Same,0.208815,0.076036
ROWS_ONLY,RawDistances,1,7,Increment,0.261521,0.139018
ROWS_ONLY,RawDistances,1,6,Decrement,0.284477,0.121406
ROWS_ONLY,RawDistances,1,5,Permutation,0.283349,0.074634
ROWS_ONLY,RawDistances,1,4,[contents],0.346958,0.089304
ROWS_ONLY,RawDistances,1,3,[weight],0.457427,0.135006
ROWS_ONLY,RawDistances,1,2,[color],0.571865,0.070423
COLS_ONLY,Pruning,1,6,Averaged,0.265714,0.109066
COLS_ONLY,Pruning,1,5,Same,0.329061,0.117739
